ticker,sector,sector_etf,signal,close,qv_score,fi_score,theme_score,f_score,fund_composite,rs_rating,trend_template,not_extended,breakout,volume_ok,exit_active,exit_reasons,entry_reasons,entry_blockers,fi_flags,pct_above_sma50,high_52w,low_52w
MTB,Financial Services,XLF,SALIDA,217.4199981689453,15.310077519379844,0.0,11.11111111111111,0,26.401808785529717,60.58252427184466,False,True,False,False,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (3% sobre SMA50)'],"['Fuerza relativa insuficiente (RS 61)', 'Sin breakout reciente sobre resistencia']",[],0.026326689251423067,236.36460876464844,167.49407958984375
COST,Consumer Defensive,XLP,SALIDA,995.75,2.7131782945736433,20.0,16.666666666666664,0,26.251937984496124,45.04854368932038,False,True,False,True,True,"['Cierre por debajo de SMA50 (995.75 < 996.65) con volumen 1.4x', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (-0% sobre SMA50)'],"['Medias móviles no alineadas alcistas', 'Fuerza relativa insuficiente (RS 45)', 'Sin breakout reciente sobre resistencia']",['Revisiones de analistas al alza'],-0.000904800720026976,1050.9342041015625,847.6104736328125
RF,Financial Services,XLF,SALIDA,28.209999084472656,13.953488372093023,0.0,11.11111111111111,0,25.859173126614987,63.49514563106796,False,True,False,False,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (4% sobre SMA50)'],"['Fuerza relativa insuficiente (RS 63)', 'Sin breakout reciente sobre resistencia']",[],0.04140569029025509,30.655292510986328,19.8684024810791
BLDR,Industrials,XLI,SALIDA,80.02999877929688,22.674418604651162,-60.0,38.88888888888889,0,25.791989664082685,2.1359223300970873,False,True,False,True,True,"['Cierre por debajo de SMA50 (80.03 < 87.18) con volumen 1.4x', 'Stop ATR roto: cierre 80.03 < trailing stop 81.72', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (-8% sobre SMA50)'],"['Precio por debajo de SMA150 o SMA200', 'Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Lejos del máximo de 52 semanas', 'Fuerza relativa insuficiente (RS 2)', 'Sin breakout reciente sobre resistencia']","['Revisiones de analistas a la baja', 'Miss consistente últimos 2 trimestres', 'Margen bruto en contracción']",-0.08204371652848472,149.2100067138672,73.75
PNC,Financial Services,XLF,SALIDA,222.4199981689453,13.565891472868216,0.0,11.11111111111111,0,25.704134366925064,66.40776699029126,False,True,False,False,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (4% sobre SMA50)'],"['Fuerza relativa insuficiente (RS 66)', 'Sin breakout reciente sobre resistencia']",[],0.044743713975807245,240.63150024414062,158.2081298828125
USB,Financial Services,XLF,SALIDA,56.15999984741211,12.790697674418606,0.0,11.11111111111111,0,25.394056847545222,70.67961165048544,False,True,False,False,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (4% sobre SMA50)'],"['Fuerza relativa insuficiente (RS 71)', 'Sin breakout reciente sobre resistencia']",[],0.04265392633033523,60.069740295410156,39.31211853027344
CFG,Financial Services,XLF,SALIDA,65.62000274658203,12.4031007751938,0.0,11.11111111111111,0,25.2390180878553,82.33009708737865,True,True,False,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (7% sobre SMA50)', 'Fuerza relativa alta (RS 82/100)']",['Sin breakout reciente sobre resistencia'],[],0.07499887403115511,67.63343048095703,36.886959075927734
TPL,Energy,XLE,SALIDA,419.75,1.744186046511628,-40.0,55.55555555555556,0,25.08656330749354,75.72815533980582,False,True,False,False,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (-12% sobre SMA50)'],"['Fuerza relativa insuficiente (RS 76)', 'Sin breakout reciente sobre resistencia']","['Miss consistente últimos 2 trimestres', 'Margen bruto en contracción']",-0.1184767074918188,539.7899780273438,273.250244140625
ADM,Consumer Defensive,XLP,SALIDA,78.0199966430664,8.333333333333332,0.0,16.666666666666664,0,25.0,86.40776699029125,True,True,True,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (10% sobre SMA50)', 'Fuerza relativa alta (RS 86/100)']",['Breakout sin confirmación de volumen'],"['Beat consistente últimos 2 trimestres', 'Margen bruto en contracción']",0.103136575229091,79.19000244140625,45.84560012817383
SATS,Communication Services,XLC,SALIDA,125.75,1.1627906976744187,0.0,27.77777777777778,0,24.90956072351421,98.44660194174757,True,True,False,False,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']","['Patrón de tendencia alcista (Stage 2)', 'No extendida (6% sobre SMA50)', 'Fuerza relativa alta (RS 98/100)']",['Sin breakout reciente sobre resistencia'],"['Miss consistente últimos 2 trimestres', 'Margen bruto en expansión los últimos 4 trimestres']",0.06320916580192912,135.11000061035156,15.989999771118164
